NOME,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,PEDRA,PONTO_VIRADA,FASE,ANO,DEFASAGEM,NIVEL_IDEAL
ALUNO-1,7.883752,10.0,7.0,8.7,8.500020000000001,7.5,5.9375,7.75,Ametista,0.0,2.0,2020,,
ALUNO-3,7.856389666666666,10.0,5.5,8.9,7.91667,7.5,8.125,8.111113333333334,Ametista,0.0,3.0,2020,,
ALUNO-4,5.076252,5.0,0.0,4.1,8.000020000000001,6.875,7.1875,7.75,Quartzo,0.0,1.0,2020,,
ALUNO-5,8.077085,10.0,7.5,8.0,7.50002,7.5,8.4375,8.166665,Ametista,0.0,2.0,2020,,
ALUNO-8,8.381390666666666,10.0,7.333333333333333,9.9,8.33334,4.375,8.749999999999998,8.94445,Ametista,1.0,4.0,2020,,
ALUNO-10,5.1618745,10.0,0.0,5.2,5.83333,3.75,7.96875,6.8333325,Quartzo,0.0,3.0,2020,,
ALUNO-11,9.712504,10.0,10.0,10.0,9.000020000000001,8.125,10.0,10.00001,Topázio,1.0,0.0,2020,,
ALUNO-12,5.838887333333334,5.0,6.666666666666667,6.0,6.25,5.625,5.624999999999999,5.277770000000001,Quartzo,0.0,3.0,2020,,
ALUNO-14,6.434585,10.0,0.0,7.6,8.000020000000001,6.875,8.4375,7.916665,Ágata,0.0,2.0,2020,,
ALUNO-15,5.162502,5.0,0.0,4.0,8.500020000000001,7.5,8.125,7.25,Quartzo,0.0,2.0,2020,,
ALUNO-17,7.766252,5.0,10.0,6.8,9.50002,7.5,6.5625,7.75,Ametista,0.0,1.0,2020,,
ALUNO-18,7.2055576666666665,5.0,6.5,7.0,9.58335,7.5,7.083333333333334,7.944446666666665,Ágata,0.0,3.0,2020,,
ALUNO-28,9.354725666666669,10.0,9.0,9.6,9.58335,6.875,10.0,9.944453333333334,Topázio,1.0,3.0,2020,,
ALUNO-30,7.125001,10.0,4.75,10.0,7.916679999999999,7.5,2.5,6.916665,Ágata,0.0,0.0,2020,,
ALUNO-33,7.013888333333334,10.0,8.666666666666666,4.5,6.66667,7.5,7.083333333333334,6.277773333333332,Ágata,0.0,3.0,2020,,
ALUNO-34,7.698890666666667,5.0,7.0,9.3,8.500020000000001,6.875,8.125,7.944443333333334,Ametista,0.0,2.0,2020,,
ALUNO-35,6.64396,5.0,5.0,6.1,8.75001,6.25,7.65625,8.29167,Ágata,0.0,7.0,2020,,
ALUNO-36,8.307780333333334,5.0,8.0,9.9,9.58335,7.5,8.749999999999998,8.222226666666668,Ametista,0.0,3.0,2020,,
ALUNO-37,6.6788913333333335,10.0,2.5,7.7,10.00002,4.375,6.458333333333333,7.77778,Ágata,0.0,2.0,2020,,
ALUNO-39,8.131388333333334,10.0,8.333333333333334,9.4,6.24999,7.5,8.541666666666666,6.777780000000001,Ametista,0.0,3.0,2020,,
ALUNO-41,7.460002,5.0,7.25,8.3,8.000020000000001,7.5,7.5,7.75,Ametista,0.0,1.0,2020,,
ALUNO-43,7.805209,10.0,7.0,7.5,7.5,7.5,7.96875,8.04167,Ametista,0.0,4.0,2020,,
ALUNO-44,6.218335,10.0,0.0,6.8,9.000020000000001,7.5,6.25,7.916665,Ágata,0.0,1.0,2020,,
ALUNO-45,6.631252,5.0,10.0,1.0,8.500020000000001,7.5,7.8125,7.75,Ágata,0.0,1.0,2020,,
ALUNO-46,6.966669,10.0,0.0,10.0,9.50002,7.5,7.5,7.583335,Ágata,0.0,0.0,2020,,
ALUNO-51,8.955835,10.0,10.0,9.8,9.50002,7.5,8.125,7.416665,Topázio,0.0,0.0,2020,,
ALUNO-52,8.181112666666667,10.0,7.0,8.6,10.00002,6.25,7.916666666666668,8.22222,Ametista,0.0,2.0,2020,,
ALUNO-53,8.696667999999999,10.0,8.2,10.0,9.16668,7.5,0.0,0.0,Topázio,,5.0,2020,,
ALUNO-55,6.878125166666666,5.0,6.333333333333333,9.0,0.0,7.5,8.28125,8.666667499999999,Ágata,1.0,6.0,2020,,
ALUNO-57,7.311667166666667,10.0,5.833333333333333,7.1,8.33334,6.25,7.5,7.5833325,Ametista,0.0,6.0,2020,,
ALUNO-59,6.563055666666668,10.0,6.0,3.6,8.75001,7.5,7.291666666666667,6.444439999999998,Ágata,0.0,3.0,2020,,
ALUNO-60,7.679582333333333,5.0,6.666666666666667,9.7,7.5,6.875,8.4375,8.124995,Ametista,0.0,5.0,2020,,
ALUNO-61,5.604168666666667,5.0,0.0,6.5,9.000020000000001,7.5,6.875,7.333333333333333,Quartzo,0.0,1.0,2020,,
ALUNO-62,6.330001333333334,5.0,3.5,6.9,7.916679999999999,7.5,7.083333333333333,7.5,Ágata,0.0,2.0,2020,,
ALUNO-68,5.988752,5.0,0.0,7.6,9.000020000000001,7.5,7.1875,8.0,Quartzo,0.0,1.0,2020,,
ALUNO-71,7.550001,5.0,9.5,10.0,8.500020000000001,5.0,2.5,7.749995,Ametista,0.0,0.0,2020,,
ALUNO-75,9.687504,10.0,9.0,10.0,10.00002,10.0,9.375,9.75001,Topázio,1.0,3.0,2020,,
ALUNO-76,8.958334,10.0,10.0,10.0,8.91668,10.0,7.5,6.58333,Topázio,0.0,0.0,2020,,
ALUNO-78,7.352085,5.0,5.5,9.0,9.50002,7.5,7.1875,7.666665,Ametista,0.0,1.0,2020,,
ALUNO-80,6.499723333333334,10.0,0.0,9.2,6.91668,7.5,7.291666666666667,7.444443333333333,Ágata,0.0,2.0,2020,,
ALUNO-81,7.386391000000001,5.0,6.0,8.8,5.41667,7.5,8.125,9.11112,Ametista,1.0,4.0,2020,,
ALUNO-82,7.954169,5.0,8.5,10.0,8.500020000000001,7.5,6.875,7.333335,Ametista,0.0,0.0,2020,,
ALUNO-83,8.155003333333333,10.0,5.333333333333333,9.4,9.16668,5.625,8.958333333333332,9.166676666666666,Ametista,1.0,4.0,2020,,
ALUNO-84,8.750001000000001,10.0,8.5,10.0,9.000020000000001,10.0,7.5,6.999995,Topázio,0.0,0.0,2020,,
ALUNO-85,7.263334,5.0,10.0,9.9,9.50002,2.5,2.5,6.66666,Ágata,0.0,0.0,2020,,
ALUNO-86,5.688333833333334,5.0,3.6666666666666665,4.9,8.33334,7.5,7.5,5.7083325,Quartzo,0.0,6.0,2020,,
ALUNO-87,8.188612666666666,10.0,6.666666666666667,9.2,8.33334,5.625,8.749999999999998,8.722226666666666,Ametista,1.0,4.0,2020,,
ALUNO-88,9.04042,10.0,9.5,9.4,10.00002,7.5,5.9375,9.58334,Topázio,1.0,2.0,2020,,
ALUNO-89,7.937502,5.0,7.5,10.0,10.00002,7.5,6.875,7.5,Ametista,0.0,0.0,2020,,
ALUNO-90,7.073542833333333,5.0,7.666666666666667,5.8,8.33334,7.5,7.96875,7.5000025,Ágata,0.0,3.0,2020,,
